"","Survey","Pos_vocab_Word","Count_pos_word","Neg_vocab_word","Count_neg_word"
"1","02-W19","above and beyond",0,"again and again",1
"2","02-W19","appreciate",1,"appears",0
"3","02-W19","awesome",1,"back and forth",1
"4","02-W19","capable",0,"bandwidth",0
"5","02-W19","cheerfully",0,"challenge",2
"6","02-W19","congrats",0,"could conduct",0
"7","02-W19","congratulations",0,"could have gotten",0
"8","02-W19","courteous",1,"create excessive",0
"9","02-W19","courteousness",0,"did not know what they were doing",1
"10","02-W19","courtiousness",0,"didn't",0
"11","02-W19","devoted",0,"difficulty",0
"12","02-W19","effective",1,"disconnect",1
"13","02-W19","empathetic",1,"doesn't",0
"14","02-W19","excellent",1,"ended up",1
"15","02-W19","excellent attitude",0,"Enterprise",3
"16","02-W19","exceptional",0,"excessively",1
"17","02-W19","extra mile",0,"expected time",0
"18","02-W19","fantastic",0,"get up to speed",0
"19","02-W19","follow-through",0,"glitchy",0
"20","02-W19","friendly",1,"gone down",0
"21","02-W19","generous",0,"hard time",0
"22","02-W19","goes out of their way",0,"haven't been able to",0
"23","02-W19","gracious",1,"impacted",0
"24","02-W19","graciously",0,"inconvenienced",1
"25","02-W19","great",2,"inconvenient",0
"26","02-W19","help",10,"inexperience",0
"27","02-W19","highlight",2,"inferior",0
"28","02-W19","joyful",1,"issues",1
"29","02-W19","kind",0,"little vague",0
"30","02-W19","knowledgeable",3,"many days",1
"31","02-W19","love",1,"need to get better",0
"32","02-W19","love working with",1,"needs work",0
"33","02-W19","loving",0,"negatively",0
"34","02-W19","outstanding",0,"not consistently",0
"35","02-W19","patient",1,"not yet",0
"36","02-W19","perseverance",0,"on hold",0
"37","02-W19","pleasant",2,"out of date",0
"38","02-W19","pleasure",0,"problematic",0
"39","02-W19","professional",1,"problems",2
"40","02-W19","prompt",0,"really need",0
"41","02-W19","quick to respond",1,"should strive",0
"42","02-W19","responsive",3,"slow",1
"43","02-W19","satisfied",0,"take too long",0
"44","02-W19","shining star",1,"taken months",0
"45","02-W19","skilled",0,"takes many days",1
"46","02-W19","solution-oriented",0,"takes too long",0
"47","02-W19","super",0,"too busy",0
"48","02-W19","thank you",0,"too many days",0
"49","02-W19","thanks",0,"unhelpful",1
"50","02-W19","thorough",0,"unnecessarily",1
"51","02-W19","very good",1,"vague",0
"52","02-W19","warm",0,"wasn't efficient",0
"53","02-W19","willing",1,"well-intentioned",0
"54","02-W19","willing to help",1,"would have been nice",0
"55","02-W19","wonderful",3,"would like to know",0
