"","Survey","Word","Count","Type"
"1","05-F19","help",9,"P"
"2","05-F19","great",5,"P"
"3","05-F19","gracious",2,"P"
"4","05-F19","highlight",2,"P"
"5","05-F19","knowledgeable",2,"P"
"6","05-F19","responsive",2,"P"
"7","05-F19","willing",2,"P"
"8","05-F19","willing to help",2,"P"
"9","05-F19","wonderful",2,"P"
"10","05-F19","appreciate",1,"P"
"11","05-F19","awesome",1,"P"
"12","05-F19","courteous",1,"P"
"13","05-F19","effective",1,"P"
"14","05-F19","empathetic",1,"P"
"15","05-F19","friendly",1,"P"
"16","05-F19","graciously",1,"P"
"17","05-F19","joyful",1,"P"
"18","05-F19","love",1,"P"
"19","05-F19","love working with",1,"P"
"20","05-F19","outstanding",1,"P"
"21","05-F19","patient",1,"P"
"22","05-F19","pleasant",1,"P"
"23","05-F19","quick to respond",1,"P"
"24","05-F19","shining star",1,"P"
"25","05-F19","Enterprise",3,"N"
"26","05-F19","challenge",2,"N"
"27","05-F19","disconnect",2,"N"
"28","05-F19","issues",2,"N"
"29","05-F19","again and again",1,"N"
"30","05-F19","back and forth",1,"N"
"31","05-F19","did not know what they were doing",1,"N"
"32","05-F19","ended up",1,"N"
"33","05-F19","haven't been able to",1,"N"
"34","05-F19","many days",1,"N"
"35","05-F19","need to get better",1,"N"
"36","05-F19","problematic",1,"N"
"37","05-F19","problems",1,"N"
"38","05-F19","slow",1,"N"
"39","05-F19","takes many days",1,"N"
"40","05-F19","unhelpful",1,"N"
"41","05-F19","unresolved",1,"N"
