"","Survey","Word","Count","Type"
"1","1F19","help",7,"Pos"
"2","1F19","great",5,"Pos"
"3","1F19","good",3,"Pos"
"4","1F19","support",3,"Pos"
"5","1F19","dedicated",2,"Pos"
"6","1F19","expertise",2,"Pos"
"7","1F19","professional",2,"Pos"
"8","1F19","appreciate",1,"Pos"
"9","1F19","appreciative",1,"Pos"
"10","1F19","awesome",1,"Pos"
"11","1F19","caring",1,"Pos"
"12","1F19","cooperation",1,"Pos"
"13","1F19","listen",1,"Pos"
"14","1F19","outstanding",1,"Pos"
"15","1F19","patience",1,"Pos"
"16","1F19","patient",1,"Pos"
"17","1F19","pleasant",1,"Pos"
"18","1F19","responsive",1,"Pos"
"19","1F19","right away",1,"Pos"
"20","1F19","sincerely",1,"Pos"
"21","1F19","staying in contact",1,"Pos"
"22","1F19","thorough",1,"Pos"
"23","1F19","understand",1,"Pos"
"24","1F19","welcoming",1,"Pos"
"25","1F19","issues",2,"Neg"
"26","1F19","just show up",2,"Neg"
"27","1F19","at least",1,"Neg"
"28","1F19","closed doors",1,"Neg"
"29","1F19","competing demands",1,"Neg"
"30","1F19","expect you",1,"Neg"
"31","1F19","expertise gap",1,"Neg"
"32","1F19","figure it out ourselves",1,"Neg"
"33","1F19","given the choice",1,"Neg"
"34","1F19","no insight",1,"Neg"
"35","1F19","properly estimate",1,"Neg"
"36","1F19","struggles",1,"Neg"
"37","1F19","until a decision",1,"Neg"
"38","1F19","what is going on",1,"Neg"
"39","1F19","Why can't",1,"Neg"
"40","1F19","would vary",1,"Neg"
