"","Survey","Pos_vocab_Word","Count_pos_word","Neg_vocab_word","Count_neg_word"
"1","01-F18","above and beyond",0,"again and again",1
"2",NA,"appreciate",1,"appears",0
"3",NA,"awesome",1,"back and forth",1
"4",NA,"capable",0,"bandwidth",0
"5",NA,"cheerfully",0,"challenge",2
"6","01-F18","congrats",0,"could conduct",0
"7","01-F18","congratulations",0,"could have gotten",0
"8","01-F18","courteous",1,"create excessive",0
"9","01-F18","courteousness",0,"did not know what they were doing",1
"10","01-F18","courtiousness",0,"didn't",0
"11","01-F18","devoted",0,"difficulty",0
"12","01-F18","effective",1,"disconnect",2
"13","01-F18","empathetic",1,"doesn't",0
"14","01-F18","excellent",0,"ended up",1
"15","01-F18","excellent attitude",0,"Enterprise",3
"16","01-F18","exceptional",0,"excessively",0
"17","01-F18","extra mile",0,"expected time",0
"18","01-F18","fantastic",0,"get up to speed",0
"19","01-F18","follow-through",0,"glitchy",0
"20","01-F18","friendly",1,"gone down",0
"21","01-F18","generous",0,"hard time",0
"22","01-F18","goes out of their way",0,"haven't been able to",1
"23","01-F18","gracious",2,"impacted",0
"24","01-F18","graciously",1,"inconvenienced",0
"25","01-F18","great",5,"inconvenient",0
"26","01-F18","help",9,"inexperience",0
"27","01-F18","highlight",2,"inferior",0
"28","01-F18","joyful",1,"issues",2
"29","01-F18","kind",0,"little vague",0
"30","01-F18","knowledgeable",2,"many days",1
"31","01-F18","love",1,"need to get better",1
"32","01-F18","love working with",1,"needs work",0
"33","01-F18","loving",0,"negatively",0
"34","01-F18","outstanding",1,"not consistently",0
"35","01-F18","patient",1,"not yet",0
"36","01-F18","perseverance",0,"on hold",0
"37","01-F18","pleasant",1,"out of date",0
"38","01-F18","pleasure",0,"problematic",1
"39","01-F18","professional",0,"problems",1
"40","01-F18","prompt",0,"really need",0
"41","01-F18","quick to respond",1,"should strive",0
"42","01-F18","responsive",2,"slow",1
"43","01-F18","satisfied",0,"take too long",0
"44","01-F18","shining star",1,"taken months",0
"45","01-F18","skilled",0,"takes many days",1
"46","01-F18","solution-oriented",0,"takes too long",0
"47","01-F18","super",0,"too busy",0
"48","01-F18","thank you",0,"too many days",0
"49","01-F18","thanks",0,"unhelpful",1
"50","01-F18","thorough",0,"unnecessarily",0
"51","01-F18","very good",0,"vague",0
"52","01-F18","warm",0,"wasn't efficient",0
"53","01-F18","willing",2,"well-intentioned",0
"54","01-F18","willing to help",2,"would have been nice",0
"55","01-F18","wonderful",2,"would like to know",0
